poem_id,book_name,count,title,verses,verse_number,label,poet
11,دوبیتی‌ها,11,دوبیتی شمارهٔ ۱۱,"شیرمردی بدم دلم چه دونست / اجل قصدم کره و شیر ژیونست
ز موشیر ژیان پرهیز می‌کرد / تنم وا مرگ جنگیدن ندونست
",2,dobeyti,babataher
12,دوبیتی‌ها,12,دوبیتی شمارهٔ ۱۲,"بود درد مو و درمانم از دوست / بود وصل مو و هجرانم از دوست
اگر قصابم از تن واکره پوست / جدا هرگز نگردد جانم از دوست
",2,dobeyti,babataher
13,دوبیتی‌ها,13,دوبیتی شمارهٔ ۱۳,"نمیدانم دلم دیوانهٔ کیست / کجا آواره و در خانهٔ کیست
نمیدونم دل سر گشتهٔ مو / اسیر نرگس مستانهٔ کیست
",2,dobeyti,babataher
14,دوبیتی‌ها,14,دوبیتی شمارهٔ ۱۴,"ته دوری از برم دل در برم نیست / هوای دیگری اندر سرم نیست
بجان دلبرم کز هر دو عالم / تمنای دگر جز دلبرم نیست
",2,dobeyti,babataher
15,دوبیتی‌ها,15,دوبیتی شمارهٔ ۱۵,"یکی برزیگرک نالان درین دشت / بخون دیدگان آلاله می‌کشت
همی کشت و همی گفت ای دریغا / بباید کشت و هشت و رفت ازین دشت
",2,dobeyti,babataher
16,دوبیتی‌ها,16,دوبیتی شمارهٔ ۱۶,"خرم کوه و خرم صحرا خرم دشت / خرم آنانکه این آلالیان کشت
بسی هند و بسی شند و بسی یند / همان کوه و همان صحرا همان دشت
",2,dobeyti,babataher
17,دوبیتی‌ها,17,دوبیتی شمارهٔ ۱۷,"بهار آیو به صحرا و در و دشت / جوانی هم بهاری بود و بگذشت
سر قبر جوانان لاله رویه / دمی که گلرخان آیند به گلگشت
",2,dobeyti,babataher
18,دوبیتی‌ها,18,دوبیتی شمارهٔ ۱۸,"سیاهی دو چشمانت مرا کشت / درازی دو زلفانت مرا کشت
به قتلم حاجت تیر و کمان نیست / خم ابرو و مژگانت مرا کشت
",2,dobeyti,babataher
19,دوبیتی‌ها,19,دوبیتی شمارهٔ ۱۹,"عزیزا کاسهٔ چشمم سرایت / میان هردو چشمم جای پایت
از آن ترسم که غافل پا نهی تو / نشیند خار مژگانم بپایت
",2,dobeyti,babataher
20,دوبیتی‌ها,20,دوبیتی شمارهٔ ۲۰,"من آن رندم که گیرم از شهان باج / بپوشم جوشن و بر سر نهم تاج
فرو ناید سر مردان به نامرد / اگر دارم کشند مانند حلاج
",2,dobeyti,babataher
21,دوبیتی‌ها,21,دوبیتی شمارهٔ ۲۱,"ته که می‌شی بمو چاره بیاموج / که این تاریک شوانرا چون کرم روج
کهی واجم که کی این روج آیو / کهی واجم که هرگز وا نه‌ای روج
",2,dobeyti,babataher
22,دوبیتی‌ها,22,دوبیتی شمارهٔ ۲۲,"اگر زرین کلاهی عاقبت هیچ / اگر خود پادشاهی عاقبت هیچ
اگر ملک سلیمانت ببخشند / در آخر خاک راهی عاقبت هیچ
",2,dobeyti,babataher
23,دوبیتی‌ها,23,دوبیتی شمارهٔ ۲۳,"زدست دیده و دل هر دو فریاد / که هر چه دیده بیند دل کند یاد
بسازم خنجری نیشش ز فولاد / زنم بر دیده تا دل گردد آزاد
",2,dobeyti,babataher
24,دوبیتی‌ها,24,دوبیتی شمارهٔ ۲۴,"گیج و ویجم که کافر گیج میراد / چنان گیجم که کافر هم موی ناد
بر این آئین که مو را جان و دل داد / شمع و پروانه را پرویج میداد
",2,dobeyti,babataher
25,دوبیتی‌ها,25,دوبیتی شمارهٔ ۲۵,"دو چشمم درد چشمانت بچیناد / مبو روجی که چشمم ته مبیناد
شنیدم رفتی و یاری گرفتی / اگر گوشم شنید چشمم مبیناد
",2,dobeyti,babataher
26,دوبیتی‌ها,26,دوبیتی شمارهٔ ۲۶,"دلم بی وصل ته شادی مبیناد / زدرد و محنت آزادی مبیناد
خراب آباد دل بی مقدم تو / الهی هرگز آبادی مبیناد
",2,dobeyti,babataher
27,دوبیتی‌ها,27,دوبیتی شمارهٔ ۲۷,"بیته یارب به بستان گل مرویاد / وگر روید کسش هرگز مبویاد
بیته هر گل به خنده لب گشاید / رخش از خون دل هرگز مشویاد
",2,dobeyti,babataher
28,دوبیتی‌ها,28,دوبیتی شمارهٔ ۲۸,"یکی درد و یکی درمان پسندد / یکی وصل و یکی هجران پسندد
من از درمان و درد و وصل و هجران / پسندم آنچه را جانان پسندد
",2,dobeyti,babataher
29,دوبیتی‌ها,29,دوبیتی شمارهٔ ۲۹,"الهی گردن گردون شود خرد / که فرزندان آدم را همه برد
یکی ناگه که زنده شد فلانی / همه گویند فلان ابن فلان مرد
",2,dobeyti,babataher
30,دوبیتی‌ها,30,دوبیتی شمارهٔ ۳۰,"نهالی کن سر از باغی برآرد / ببارش هر کسی دستی برآرد
برآرد باغبان از بیخ و از بن / اگر بر جای میوه گوهر آرد
",2,dobeyti,babataher
31,دوبیتی‌ها,31,دوبیتی شمارهٔ ۳۱,"غریبی بس مرا دلگیر دارد / فلک بر گردنم زنجیر دارد
فلک از گردنم زنجیر بردار / که غربت خاک دامنگیر دارد
",2,dobeyti,babataher
32,دوبیتی‌ها,32,دوبیتی شمارهٔ ۳۲,"خور از خورشید رویت شرم دارد / مه نو زابرویت آزرم دارد
بشهر و کوه و صحرا هر که بینی / زبان دل بذکرت گرم دارد
",2,dobeyti,babataher
33,دوبیتی‌ها,33,دوبیتی شمارهٔ ۳۳,"غم عشقت بیابان پرورم کرد / فراقت مرغ بی‌بال و پرم کرد
بمو واجی صبوری کن صبوری / صبوری طرفه خاکی بر سرم کرد
",2,dobeyti,babataher
34,دوبیتی‌ها,34,دوبیتی شمارهٔ ۳۴,"شوانم خواب در مرز گلان کرد / گلم واچید و خوابم را زیان کرد
باغبان دید که مو گل دوست دیرم / هزاران خار بر گل پاسبان کرد
",2,dobeyti,babataher
35,دوبیتی‌ها,35,دوبیتی شمارهٔ ۳۵,"دل عاشق به پیغامی بسازد / خمار آلوده با جامی بسازد
مرا کیفیت چشم تو کافیست / ریاضت کش ببادامی بسازد
",2,dobeyti,babataher
36,دوبیتی‌ها,36,دوبیتی شمارهٔ ۳۶,"دگر شو شد که مو جانم بسوزد / گریبان تا بدامانم بسوزد
برای کفر زلفت ای پریرخ / همی ترسم که ایمانم بسوزد
",2,dobeyti,babataher
37,دوبیتی‌ها,37,دوبیتی شمارهٔ ۳۷,"هر آنکس عاشق است از جان نترسد / یقین از بند و از زندان نترسد
دل عاشق بود گرگ گرسنه / که گرگ از هی هی چوپان نترسد
",2,dobeyti,babataher
38,دوبیتی‌ها,38,دوبیتی شمارهٔ ۳۸,"بلا رمزی ز بالای ته باشد / جنون سری ز سودای ته باشد
بصورت آفرینم این گمان بی / که پنهان در تماشای ته باشد
",2,dobeyti,babataher
39,دوبیتی‌ها,39,دوبیتی شمارهٔ ۳۹,"پسندی خوار و زارم تا کی و چند / پریشان روزگارم تا کی و چند
ته که باری ز دوشم برنگیری / گری سربار بارم تا کی و چند
",2,dobeyti,babataher
40,دوبیتی‌ها,40,دوبیتی شمارهٔ ۴۰,"دلا خوبان دل خونین پسندند / دلا خون شو که خوبان این پسندند
متاع کفر و دین بی‌مشتری نیست / گروهی آن گروهی این پسندند
",2,dobeyti,babataher
41,دوبیتی‌ها,41,دوبیتی شمارهٔ ۴۱,"مرا نه سر نه سامان آفریدند / پریشانم پریشان آفریدند
پریشان خاطران رفتند در خاک / مرا از خاک ایشان آفریدند
",2,dobeyti,babataher
42,دوبیتی‌ها,42,دوبیتی شمارهٔ ۴۲,"خوشا آنانکه سودای ته دیرند / که سر پیوسته در پای ته دیرند
بدل دیرم تمنای کسانی / که اندر دل تمنای ته دیرند
",2,dobeyti,babataher
43,دوبیتی‌ها,43,دوبیتی شمارهٔ ۴۳,"چو آن نخلم که بارش خورده باشند / چو آن ویران که گنجش برده باشند
چو آن پیری همی نالم درین دشت / که رودان عزیزش مرده باشند
",2,dobeyti,babataher
44,دوبیتی‌ها,44,دوبیتی شمارهٔ ۴۴,"خوشا آنانکه هر از بر ندانند / نه حرفی وانویسند و نه خوانند
چو مجنون سر نهند اندر بیابان / ازین گو گل روند آهو چرانند
",2,dobeyti,babataher
45,دوبیتی‌ها,45,دوبیتی شمارهٔ ۴۵,"خوشا آنانکه تن از جان ندانند / تن و جانی به جز جانان ندانند
بدردش خو گرند سالان و ماهان / بدرد خویشتن درمان ندانند
",2,dobeyti,babataher
46,دوبیتی‌ها,46,دوبیتی شمارهٔ ۴۶,"خوشا آنانکه پا از سر ندونند / مثال شعله خشک وتر ندونند
کنشت و کعبه و بتخانه و دیر / سرائی خالی از دلبر ندونند
",2,dobeyti,babataher
47,دوبیتی‌ها,47,دوبیتی شمارهٔ ۴۷,"خوشا آنانکه هر شامان ته وینند / سخن با ته گرند با ته نشینند
مو که پایم نبی کایم ته وینم / بشم آنان بوینم که ته وینند
",2,dobeyti,babataher
48,دوبیتی‌ها,48,دوبیتی شمارهٔ ۴۸,"خوشا آنان که با ته همنشینند / همیشه با دل خرم نشینند
همین بی رسم عشق و عشقبازی / که گستاخانه آیند و ته بینند
",2,dobeyti,babataher
49,دوبیتی‌ها,49,دوبیتی شمارهٔ ۴۹,"لاله کاران دگر لاله مکارید / باغبانان دو دست از گل بدارید
اگر عهد گلان این بو که دیدم / بیخ گل بر کنید و خار بکارید
",2,dobeyti,babataher
50,دوبیتی‌ها,50,دوبیتی شمارهٔ ۵۰,"مو آن رندم که نامم بی‌قلندر / نه خان دیرم نه مان دیرم نه لنگر
چو روج آیو بگردم گرد گیتی / چو شو آیو به خشتی وانهم سر
",2,dobeyti,babataher
51,دوبیتی‌ها,51,دوبیتی شمارهٔ ۵۱,"تویی آن شکرین لب یاسمین بر / منم آن آتشین دل دیدگان تر
از آن ترسم که در آغوشم آیی / گدازد آتشت بر آب شکر
",2,dobeyti,babataher
52,دوبیتی‌ها,52,دوبیتی شمارهٔ ۵۲,"گلش در زیر سنبل سایه پرور / نهال قامتش نخلی است نوبر
زعشق آن گل رعنا همه شب / چو بلبل ناله و افغان برآور
",2,dobeyti,babataher
53,دوبیتی‌ها,53,دوبیتی شمارهٔ ۵۳,"دمی بوره بوین حالم ته دلبر / دلم تنگه شبی با مو بسر بر
ته گل بر سر زنی ای نو گل مو / به جای گل زنم مو دست بر سر
",2,dobeyti,babataher
54,دوبیتی‌ها,54,دوبیتی شمارهٔ ۵۴,"بروی ماهت ای ماه ده و چار / به سرو قدت ای زیبنده رخسار
که جز عشقت خیالی در دلم نی / بدیاری ندارم مو سر و کار
",2,dobeyti,babataher
55,دوبیتی‌ها,55,دوبیتی شمارهٔ ۵۵,"دیم آلاله‌ای در دامن خار / واتم آلالیا کی چینمت بار
بگفتا باغبان معذور میدار / درخت دوستی دیر آورد بار
",2,dobeyti,babataher
56,دوبیتی‌ها,56,دوبیتی شمارهٔ ۵۶,"دلم زار و دلم زار و دلم زار / طبیبم آورید دردم کرید چار
طبیبم چون بوینه بر موی زار / کره در مون دردم را بناچار
",2,dobeyti,babataher
57,دوبیتی‌ها,57,دوبیتی شمارهٔ ۵۷,"سه درد آمو بجانم هر سه یکبار / غریبی و اسیری و غم یار
غریبی و اسیری چاره دیره / غم یار و غم یار و غم یار
",2,dobeyti,babataher
58,دوبیتی‌ها,58,دوبیتی شمارهٔ ۵۸,"زدل نقش جمالت در نشی یار / خیال خط و خالت در نشی یار
مژه سازم بدور دیده پرچین / که تا وینم خیالت در نشی یار
",2,dobeyti,babataher
59,دوبیتی‌ها,59,دوبیتی شمارهٔ ۵۹,"الاله کوهسارانم تویی یار / بنوشه جو کنارانم تویی یار
الاله کوهساران هفته‌ای بی / امید روزگارانم تویی یار
",2,dobeyti,babataher
60,دوبیتی‌ها,60,دوبیتی شمارهٔ ۶۰,"بی تو تلواسه دیرم ای نکویار / زهر در کاسه دیرم ای نکویار
میم خون گریه ساقی ناله مطرب / مصاحب این سه دیرم ای نکویار
",2,dobeyti,babataher
61,دوبیتی‌ها,61,دوبیتی شمارهٔ ۶۱,"فلک زار و نزارم کردی آخر / جدا از گلعذارم کردی آخر
میان تختهٔ نرد محبت / شش و پنجی بکارم کردی آخر
",2,dobeyti,babataher
62,دوبیتی‌ها,62,دوبیتی شمارهٔ ۶۲,"اگر شیری اگر میری اگر مور / گذر باید کنی آخر لب گور
دلا رحمی بجان خویشتن کن / که مورانت نهند خوان و کنند سور
",2,dobeyti,babataher
63,دوبیتی‌ها,63,دوبیتی شمارهٔ ۶۳,"اگر شیری اگر ببری اگر کور / سرانجامت بود جا در ته گور
تنت در خاک باشد سفره گستر / بگردش موش و مار و عقرب و مور
",2,dobeyti,babataher
64,دوبیتی‌ها,64,دوبیتی شمارهٔ ۶۴,"دلا اصلا نترسی از ره دور / دلا اصلا نترسی از ته گور
دلا اصلا نمیترسی که روزی / شوی بنگاه مار و لانهٔ مور
",2,dobeyti,babataher
65,دوبیتی‌ها,65,دوبیتی شمارهٔ ۶۵,"جره بازی بدم رفتم به نخجیر / سبک دستی بزد بر بال من تیر
برو غافل مچر در کوهساران / هران غافل چرد غافل خورد تیر
",2,dobeyti,babataher
66,دوبیتی‌ها,66,دوبیتی شمارهٔ ۶۶,"بوره بلبل بنالیم از سر سوز / بوره آه سحر از مو بیاموز
تو از بهر گلی ده روز نالی / مو از بهر دل‌آرامم شو و روز
",2,dobeyti,babataher
67,دوبیتی‌ها,67,دوبیتی شمارهٔ ۶۷,"جدا از رویت ای ماه دل افروز / نه روز از شو شناسم نه شو از روز
وصالت گر مرا گردد میسر / همه روزم شود چون عید نوروز
",2,dobeyti,babataher
68,دوبیتی‌ها,68,دوبیتی شمارهٔ ۶۸,"مو که سر در بیابانم شو و روز / سرشک از دیده بارانم شو و روز
نه تب دیرم نه جایم میکند درد / همیدونم که نالونم شو و روز
",2,dobeyti,babataher
69,دوبیتی‌ها,69,دوبیتی شمارهٔ ۶۹,"بی ته سر در بیابانم شو و روز / سرشک از دیده بارانم شو و روز
نه بیمارم که جایم میکری درد / همیدانم که نالانم شو و روز
",2,dobeyti,babataher
70,دوبیتی‌ها,70,دوبیتی شمارهٔ ۷۰,"غم و درد مو از عطار واپرس / درازی شب از بیمار واپرس
خلایق هر یکی صد بار پرسند / تو که جان و دلی یکبار واپرس
",2,dobeyti,babataher
71,دوبیتی‌ها,71,دوبیتی شمارهٔ ۷۱,"خداوندا بفریاد دلم رس / تو یار بیکسان مو مانده بیکس
همه گویند طاهر کس نداره / خدا یار مو چه حاجت کس
",2,dobeyti,babataher
72,دوبیتی‌ها,72,دوبیتی شمارهٔ ۷۲,"گلی که خود بدادم پیچ و تابش / باشک دیدگانم دادم آبش
درین گلشن خدایا کی روا بی / گل از مو دیگری گیرد گلابش
",2,dobeyti,babataher
73,دوبیتی‌ها,73,دوبیتی شمارهٔ ۷۳,"قضا رمزی زچشمان خمارش / قدر سری ز زلف مشگبارش
مه و مهر آیتی ز آنروی زیبا / نکویان جهان آئینه دارش
",2,dobeyti,babataher
74,دوبیتی‌ها,74,دوبیتی شمارهٔ ۷۴,"به قبرستان گذر کردم کم وبیش / بدیدم قبر دولتمند و درویش
نه درویش بیکفن در خاک رفته / نه دولتمند برده یک کفن بیش
",2,dobeyti,babataher
75,دوبیتی‌ها,75,دوبیتی شمارهٔ ۷۵,"شب تار است و گرگان میزنند میش / دو زلفانت حمایل کن بوره پیش
از آن کنج لبت بوسی بموده / بگو راه خدا دادم بدرویش
",2,dobeyti,babataher
76,دوبیتی‌ها,76,دوبیتی شمارهٔ ۷۶,"فلک نه همسری دارد نه هم کف / بخون ریزی دلش اصلا نگفت اف
همیشه شیوهٔ کارش همینه / چراغ دودمانیرا کند پف
",2,dobeyti,babataher
77,دوبیتی‌ها,77,دوبیتی شمارهٔ ۷۷,"دلی دیرم ولی دیوانه و دنگ / ز دستم شیشهٔ ناموس بر سنگ
ازین دیوانگی روزی برآیم / که در دامان دلبر برزنم چنگ
",2,dobeyti,babataher
78,دوبیتی‌ها,78,دوبیتی شمارهٔ ۷۸,"وای آن روجی که در قبرم نهند تنگ / ببالینم نهند خشت و گل و سنگ
نه پای آنکه بگریزم ز ماران / نه دست آنکه با موران کنم جنگ
",2,dobeyti,babataher
79,دوبیتی‌ها,79,دوبیتی شمارهٔ ۷۹,"دلی دیرم چو مو دیوانه و دنگ / زده آئینه هر نام بر سنگ
بمو واجند که بی نام و ننگی / هر آن یارش تویی چه نام و چه ننگ
",2,dobeyti,babataher
80,دوبیتی‌ها,80,دوبیتی شمارهٔ ۸۰,"حرامم بی ته بی آلاله و گل / حرامم بی ته بی آواز بلبل
حرامم بی اگر بی ته نشینم / کشم در پای گلبن ساغر مل
",2,dobeyti,babataher
81,دوبیتی‌ها,81,دوبیتی شمارهٔ ۸۱,"مو ام آن آذرین مرغی که فی‌الحال / بسوجم عالم ار برهم زنم بال
مصور گر کشد نقشم به گلشن / بسوجه گلشن از تاثیر تمثال
",2,dobeyti,babataher
82,دوبیتی‌ها,82,دوبیتی شمارهٔ ۸۲,"خدایا داد از این دل داد از این دل / نگشتم یک زمان من شاد از این دل
چو فردا داد خواهان داد خواهند / بر آرم من دو صد فریاد از این دل
",2,dobeyti,babataher
83,دوبیتی‌ها,83,دوبیتی شمارهٔ ۸۳,"خدایا خسته و زارم ازین دل / شو و روزان در آزارم ازین دل
مو از دل نالم و دل نالد از مو / زمو بستان که بیزارم ازین دل
",2,dobeyti,babataher
84,دوبیتی‌ها,84,دوبیتی شمارهٔ ۸۴,"بشم واشم که تا یاری گره دل / به بختم گریه و زاری گره دل
بگردی و نجوئی یار دیگر / که از جان و دلت یاری گره دل
",2,dobeyti,babataher
85,دوبیتی‌ها,85,دوبیتی شمارهٔ ۸۵,"چرا دایم بخوابی ای دل ای دل / ز غم در اضطرابی ای دل ای دل
بوره کنجی نشین شکر خدا کن / که شاید کام یابی ای دل ای دل
",2,dobeyti,babataher
86,دوبیتی‌ها,86,دوبیتی شمارهٔ ۸۶,"مگر شیر و پلنگی ای دل ای دل / بمو دایم به جنگی ای دل ای دل
اگر دستم فتی خونت بریجم / بوینم تا چه رنگی ای دل ای دل
",2,dobeyti,babataher
87,دوبیتی‌ها,87,دوبیتی شمارهٔ ۸۷,"چرا آزرده حالی ای دل ای دل / همه فکر و خیالی ای دل ای دل
بساجم خنجری دل را برآرم / بوینم تا چه حالی ای دل ای دل
",2,dobeyti,babataher
88,دوبیتی‌ها,88,دوبیتی شمارهٔ ۸۸,"مرا درد آموه و درمان چه حاصل / مرا وصل آموه و هجران چه حاصل
بسوته بی گل و آلاله بی سر / سر سوته کله یاران چه حاصل
",2,dobeyti,babataher
89,دوبیتی‌ها,89,دوبیتی شمارهٔ ۸۹,"دلا غافل ز سبحانی چه حاصل / مطیع نفس و شیطانی چه حاصل
بود قدر تو افزون از ملایک / تو قدر خود نمیدانی چه حاصل
",2,dobeyti,babataher
90,دوبیتی‌ها,90,دوبیتی شمارهٔ ۹۰,"ز بوی زلف تو مفتونم ای گل / ز رنگ روی تو دلخونم ای گل
من عاشق زعشقت بیقرارم / تو چون لیلی و من مجنونم ای گل
",2,dobeyti,babataher
91,دوبیتی‌ها,91,دوبیتی شمارهٔ ۹۱,"دلا پوشم ز عشقت جامهٔ نیل / نهم داغ غمت چون لاله بر دیل
دم از مهرت زنم همچون دم صبح / وز آن دم تا دم صور سرافیل
",2,dobeyti,babataher
92,دوبیتی‌ها,92,دوبیتی شمارهٔ ۹۲,"غمم غم بی و همراز دلم غم / غمم همصحبت و همراز و همدم
غمت مهله که مو تنها نشینم / مریزا بارک الله مرحبا غم
",2,dobeyti,babataher
93,دوبیتی‌ها,93,دوبیتی شمارهٔ ۹۳,"دو زلفانت گرم تار ربابم / چه میخواهی ازین حال خرابم
ته که با مو سر یاری نداری / چرا هر نیمه شو آیی بخوابم
",2,dobeyti,babataher
94,دوبیتی‌ها,94,دوبیتی شمارهٔ ۹۴,"مو آن محنت کش حسرت نصیبم / که در هر ملک و هر شهری غریبم
نه بو روزی که آیی بر سر من / بوینی مرده از هجرحبیبم
",2,dobeyti,babataher
95,دوبیتی‌ها,95,دوبیتی شمارهٔ ۹۵,"مو آن دل داده یکتا پرستم / که جام شرک و خود بینی شکستم
منم طاهر که در بزم محبت / محمد را کمینه چاکرستم
",2,dobeyti,babataher
96,دوبیتی‌ها,96,دوبیتی شمارهٔ ۹۶,"مو آن بحرم که در ظرف آمدستم / چو نقطه بر سر حرف آمدستم
بهر الفی الف قدی بر آیو / الف قدم که در الف آمدستم
",2,dobeyti,babataher
97,دوبیتی‌ها,97,دوبیتی شمارهٔ ۹۷,"من آن مسکین تذروبی پرستم / من آن سوزنده شمع بی‌سرستم
نه کار آخرت کردم نه دنیا / یکی خشکیده نخل بی‌برستم
",2,dobeyti,babataher
98,دوبیتی‌ها,98,دوبیتی شمارهٔ ۹۸,"بروی دلبری گر مایلستم / مکن منعم گرفتار دلستم
خدا را ساربان آهسته میران / که من واماندهٔ این قافلستم
",2,dobeyti,babataher
99,دوبیتی‌ها,99,دوبیتی شمارهٔ ۹۹,"به عشقت ای دلارا نگروستم / نوید وصل تو تا نشنوستم
بدل تخم وفایت کشتم آخر / بجز اندوه و خواری ندروستم
",2,dobeyti,babataher
100,دوبیتی‌ها,100,دوبیتی شمارهٔ ۱۰۰,"بشو یاد تو ای مه پاره هستم / بروز از درد و غم بیچاره هستم
تو داری در مقام خود قراری / مویم که در جهان آواره هستم
",2,dobeyti,babataher
101,دوبیتی‌ها,101,دوبیتی شمارهٔ ۱۰۱,"اگر آئی بجانت وانواجم / وگر نائی به هجرانت گداجم
ته هر دردی که داری بر دلم نه / بمیرم یا بسوجم یا بساجم
",2,dobeyti,babataher
102,دوبیتی‌ها,102,دوبیتی شمارهٔ ۱۰۲,"الهی ار بواجم ور نواجم / ته دانی حاجتم را مو چه واجم
اگر بنوازیم حاجت روا بی / وگر محروم سازی مو چه ساجم
",2,dobeyti,babataher
103,دوبیتی‌ها,103,دوبیتی شمارهٔ ۱۰۳,"دلم دردین و نالین چه واجم / رخم گردین و خاکین چه واجم
بگردیدم به هفتاد و دو ملت / بصد مذهب منادین چه واجم
",2,dobeyti,babataher
104,دوبیتی‌ها,104,دوبیتی شمارهٔ ۱۰۴,"نمیدانم که رازم با که واجم / غم و سوز وگدازم با که واجم
چه واجم هر که ذونه میکره فاش / دگر راز و نیازم با که واجم
",2,dobeyti,babataher
105,دوبیتی‌ها,105,دوبیتی شمارهٔ ۱۰۵,"به آهی گنبد خضرا بسوجم / فلک را جمله سر تا پا بسوجم
بسوجم ار نه کارم را بساجی / چه فرمائی بساجی یا بسوجم
",2,dobeyti,babataher
106,دوبیتی‌ها,106,دوبیتی شمارهٔ ۱۰۶,"نذونی ای فلک که مستمندم / وامو پر بد مکه که دردمندم
بیک گردش که میکردی ببینی / چو رشته مو بسامانت ببندم
",2,dobeyti,babataher
107,دوبیتی‌ها,107,دوبیتی شمارهٔ ۱۰۷,"مو که چون اشتران قانع به خارم / جهازم چوب و خرواری ببارم
بدین مزد قلیل و رنج بسیار / هنوز از روی مالک شرمسارم
",2,dobeyti,babataher
108,دوبیتی‌ها,108,دوبیتی شمارهٔ ۱۰۸,"بوره ای روی تو باغ بهارم / خیالت مونس شبهای تارم
خدا دونه که در دنیای فانی / بغیر عشق ته کاری ندارم
",2,dobeyti,babataher
109,دوبیتی‌ها,109,دوبیتی شمارهٔ ۱۰۹,"همه شو تا سحر اختر شمارم / که ماه رویت آیو در کنارم
شوان گوشم بدر چشمم براهت / گذاری تا بکی در انتظارم
",2,dobeyti,babataher
110,دوبیتی‌ها,110,دوبیتی شمارهٔ ۱۱۰,"شوان استارگان یک‌یک شمارم / براهت تا سحر در انتظارم
پس از نیمه شوان که ته نیایی / زدیده اشک چون باران ببارم
",2,dobeyti,babataher
111,دوبیتی‌ها,111,دوبیتی شمارهٔ ۱۱۱,"از آن انگشت نمای روزگارم / که دور افتاده از یار و دیارم
ندونم قصد جان کردن بناحق / بجز بر سرزدن چاره ندارم
",2,dobeyti,babataher
112,دوبیتی‌ها,112,دوبیتی شمارهٔ ۱۱۲,"از آن دلخسته و سینه فگارم / که گریان در ته سنگ مزارم
بواجندم که ته شوری نداری / سرا پا شور دارم شر ندارم
",2,dobeyti,babataher
113,دوبیتی‌ها,113,دوبیتی شمارهٔ ۱۱۳,"غم عالم همه کردی ببارم / مگر مو لوک مست سر قطارم
مهارم کردی و دادی به ناکس / فزودی هر زمان باری ببارم
",2,dobeyti,babataher
114,دوبیتی‌ها,114,دوبیتی شمارهٔ ۱۱۴,"کافرم گر منی آلاله کارم / کافرم گر منی آبش بدارم
کافرم گر منی نامش برم نام / دو صد داغ دل از آلاله دارم
",2,dobeyti,babataher
115,دوبیتی‌ها,115,دوبیتی شمارهٔ ۱۱۵,"هزاران ملک دنیا گر بدارم / هزاران ملک عقبی گر بدارم
بوره ته دلبرم تا با ته واجم / که بی روی تو آنرا گر بدارم
",2,dobeyti,babataher
116,دوبیتی‌ها,116,دوبیتی شمارهٔ ۱۱۶,"غم عشق تو مادرزاد دیرم / نه از آموزش استاد دیرم
بدان شادم که از یمن غم تو / خراب آباد دل آباد دیرم
",2,dobeyti,babataher
117,دوبیتی‌ها,117,دوبیتی شمارهٔ ۱۱۷,"ز دست چرخ گردون داد دیرم / هزاران ناله و فریاد دیرم
نشنید دستانم با خس و خار / چگونه خاطر خود شاد دیرم
",2,dobeyti,babataher
